Ticker,Description,Category,Type,Exchange,Quantity,Cost BGN,Revenue BGN,Profit BGN
AAPL,APPLE INC,Stocks,COMMON,NASDAQ,100,25277.14462,26226.75081568968,949.606195689681
ALTA,ALTAREA,Stocks,REIT,SBF,350,97414.80715725548,98524.54508399998,1109.7379267445067
AMZN,AMAZON.COM INC,Stocks,COMMON,NASDAQ,80,15616.32975,17125.948565914518,1509.6188159145167
BABA,ALIBABA GROUP HOLDING-SP ADR,Stocks,ADR,NYSE,60,11452.237127245502,12897.518946250944,1445.2818190054422
DVN,DEVON ENERGY CORP,Stocks,COMMON,NYSE,150,21243.1925,16866.08682401932,-4377.105675980682
EFC,ELLINGTON FINANCIAL INC,Stocks,REIT,NYSE,3000,96702.38521635615,78492.30214436713,-18210.083071989022
GOOGL,ALPHABET INC-CL A,Stocks,COMMON,NASDAQ,5,20498.421772499998,21688.86801671958,1190.4462442195836
MELI,MERCADOLIBRE INC,Stocks,COMMON,NASDAQ,20,34176.66594306035,25875.78267726046,-8300.883265799886
FB,META PLATFORMS INC-CLASS A,Stocks,COMMON,NASDAQ,50,16299.69724,17825.145418656382,1525.4481786563829
META,META PLATFORMS INC-CLASS A,Stocks,COMMON,NASDAQ,80,24179.9659299,24978.83505069579,798.8691207957891
NVDA,NVIDIA CORP,Stocks,COMMON,NASDAQ,-100,-33098.19513132639,-34351.92342,-1253.7282886736066
TTE,TOTALENERGIES SE,Stocks,COMMON,SBF,1100,105202.88553018749,119064.17594109499,13861.290410907503
TXN,TEXAS INSTRUMENTS INC,Stocks,COMMON,NASDAQ,200,56159.161706591345,58481.21743304704,2322.055726455692
XLF,FINANCIAL SELECT SECTOR SPDR,Stocks,ETF,ARCA,-2000,-123132.85938186894,-118715.2566,4417.602781868947
AAPL 16SEP22 125 P,,Equity and Index Options,P,CBOE,800,6303.558682176001,7412.872784077504,1109.314101901503
AMD 19AUG22 75 P,,Equity and Index Options,P,CBOE,1500,12902.3153262675,11640.367917196876,-1261.9474090706244
BABA 17JUN22 130 C,,Equity and Index Options,C,CBOE,700,1879.201705423112,0.0,-1879.201705423112
BABA 01JUL22 120 C,,Equity and Index Options,C,CBOE,2500,9182.418597553346,11768.319808026363,2585.9012104730173
BABA 01JUL22 125 C,,Equity and Index Options,C,CBOE,3000,2522.034169506672,10217.74547647821,7695.711306971539
FB 10JUN22 205.0 C,,Equity and Index Options,C,CBOE,4500,9487.558295702576,13840.502607917377,4352.9443122148
FB 10JUN22 207.5 C,,Equity and Index Options,C,CBOE,3000,5029.92687171,5517.741512909701,487.8146411997004
FB 10JUN22 210.0 C,,Equity and Index Options,C,CBOE,1500,2709.6212952001324,4663.939063176045,1954.3177679759128
FB 10JUN22 217.5 C,,Equity and Index Options,C,CBOE,-1500,-946.7391032677559,-2069.4072020625,-1122.6680987947439
FDX 19AUG22 165 P,,Equity and Index Options,P,CBOE,1000,9735.031701644999,3983.9082680949205,-5751.1234335500785
IWM 19AUG22 165 P,,Equity and Index Options,P,CBOE,1000,8976.054314839997,13781.554106218171,4805.4997913781735
META 17JUN22 167.5 C,,Equity and Index Options,C,CBOE,12000,13466.480265780003,11200.7800606573,-2265.7002051227028
META 17JUN22 175 C,,Equity and Index Options,C,CBOE,2000,3154.8767766599995,4661.142499572999,1506.265722913
META 17JUN22 177.5 C,,Equity and Index Options,C,CBOE,2000,2613.7460046599995,2917.48840329436,303.7423986343606
META 17JUN22 205 C,,Equity and Index Options,C,CBOE,700,1796.2573179879998,0.0,-1796.2573179879998
META 24JUN22 170 C,,Equity and Index Options,C,CBOE,2000,6630.24664563,7853.196889363889,1222.9502437338888
META 24JUN22 175 C,,Equity and Index Options,C,CBOE,7000,12014.43429189561,14949.086753335201,2934.652461439591
META 24JUN22 180 C,,Equity and Index Options,C,CBOE,1500,4210.333503495,6195.823844020229,1985.4903405252298
META 01JUL22 175 C,,Equity and Index Options,C,CBOE,1500,2585.68735033449,4591.715851622625,2006.0285012881354
META 01JUL22 177.5 C,,Equity and Index Options,C,CBOE,2000,2595.2010981369353,2834.3647473433202,239.1636492063849
META 01JUL22 180 C,,Equity and Index Options,C,CBOE,2000,3601.753018644999,3924.65634314394,322.90332449894095
META 01JUL22 182.5 C,,Equity and Index Options,C,CBOE,6000,8921.784598530001,5848.64220688006,-3073.1423916499407
SMH 16SEP22 180 P,,Equity and Index Options,P,CBOE,800,6825.349315607999,9591.54358257728,2766.1942669692808
TLT 19AUG22 117 C,,Equity and Index Options,C,CBOE,-4000,-20824.1060310608,-14992.0157937,5832.0902373608005
TXN 15JUL22 175 C,,Equity and Index Options,C,CBOE,-200,-2532.62293321239,-445.226424768,2087.39650844439
Total,,,,,,480832.2430597473,504868.74020309164,24036.4971433443

Ticker,Base currency,Quantity,Date entry,Price entry,Cost,Date exit,Price exit,Revenue,Profit,FX at entry,Price entry BGN,Cost BGN,FX at exit,Price exit BGN,Revenue BGN,Profit BGN
AAPL,USD,100,2022-06-15,134.81,13481.0,2022-06-24,141.135,14112.16380085,631.1638008499995,1.87502,252.77144619999999,25277.14462,1.85845,262.29234075,26226.75081568968,949.606195689681
ALTA,EUR,1,2022-03-05,144.2721,144.2721,2022-06-06,144.0,141.0,-3.2720999999999947,1.95583,282.171701343,282.171701343,1.95583,281.63952,275.77203,-6.399671343000023
ALTA,EUR,209,2022-03-05,144.2542962,30149.1479058,2022-06-06,144.0,30082.715550432276,-66.43235536772409,1.95583,282.136880136846,58966.60794860082,1.95583,281.63952,58836.67755500196,-129.93039359885734
ALTA,EUR,50,2022-09-05,140.4702,7023.51,2022-06-06,144.0,7196.821902017291,173.31190201729078,1.95583,274.735831266,13736.7915633,1.95583,281.63952,14075.760180622477,338.96861732247817
ALTA,EUR,40,2022-11-05,138.675,5547.0,2022-06-06,144.0,5757.457521613833,210.4575216138328,1.95583,271.22472525,10848.98901,1.95583,281.63952,11260.608144497983,411.6191344979834
ALTA,EUR,48,2022-12-05,138.8715385,6665.833848,2022-06-06,144.0,6908.949025936599,243.11517793659914,1.95583,271.609121144455,13037.23781493384,1.95583,281.63952,13512.72977339758,475.49195846373914
ALTA,EUR,1,2022-12-05,138.818077,138.818077,2022-06-06,144.0,143.928,5.109923000000009,1.95583,271.50455953891,271.50455953891,1.95583,281.63952,281.49870024,9.994140701090032
ALTA,EUR,1,2022-12-05,138.818077,138.818077,2022-06-06,144.0,143.928,5.109923000000009,1.95583,271.50455953891,271.50455953891,1.95583,281.63952,281.49870024,9.994140701090032
AMZN,USD,80,2022-06-14,104.3175,8345.4,2022-06-24,115.205,9215.17854444,869.7785444399997,1.87125,195.204121875,15616.32975,1.85845,214.10273225,17125.948565914518,1509.6188159145167
BABA,USD,29,2022-06-14,102.0194828,2958.5650012,2022-06-24,115.685,3353.784403592,395.2194023920001,1.87125,190.9039571895,5536.2147584955,1.85845,214.99478825,6232.840624855553,696.6258663600529
BABA,USD,3,2022-06-14,101.985,305.955,2022-06-24,115.685,347.04666244000003,41.09166244000005,1.87125,190.83943125000002,572.51829375,1.85845,214.99478825,644.968869811618,72.450576061618
BABA,USD,5,2022-06-14,101.985,509.925,2022-06-24,115.685,578.411104068,68.48610406799997,1.87125,190.83943125000002,954.19715625,1.85845,214.99478825,1074.9481163551745,120.7509601051745
BABA,USD,23,2022-06-14,101.985,2345.655,2022-06-24,115.685,2660.69107871,315.03607870999986,1.87125,190.83943125000002,4389.3069187500005,1.85845,214.99478825,4944.7613352286,555.4544164785993
DVN,USD,50,2022-06-06,77.68,3884.0000000000005,2022-06-21,60.66,3031.9240443,-852.0759557000006,1.82345,141.645596,7082.279800000001,1.85387,112.45575419999999,5620.79302800644,-1461.486771993561
DVN,USD,100,2022-06-06,77.66,7766.0,2022-06-21,60.66,6065.8480886,-1700.1519114000002,1.82345,141.609127,14160.9127,1.85387,112.45575419999999,11245.29379601288,-2915.6189039871206
EFC,USD,20,2022-07-02,17.5,350.0,2022-06-14,14.11,281.19093762,-68.80906238,1.88296,32.9518,659.036,1.87125,26.4033375,526.1785420214251,-132.85745797857487
EFC,USD,63,2022-07-02,17.48968254,1101.85000002,2022-06-14,14.11,888.901453503,-212.94854651699995,1.88296,32.9323726355184,2074.739476037659,1.87125,26.4033375,1663.3568448674887,-411.3826311701705
EFC,USD,28,2022-07-02,17.5,490.0,2022-06-14,14.075,394.08733510999997,-95.91266489000003,1.88296,32.9518,922.6504,1.87125,26.33784375,737.4359258245875,-185.21447417541253
EFC,USD,86,2022-07-02,17.5,1505.0,2022-06-14,14.065,1209.5511203889998,-295.44887961100017,1.88296,32.9518,2833.8548,1.87125,26.31913125,2263.372534027916,-570.482265972084
EFC,USD,161,2022-07-02,17.50490683,2818.28999963,2022-06-14,14.065,2263.6022137510004,-554.6877858789994,1.88296,32.961039364616795,5306.727337703304,1.87125,26.31913125,4235.76564248156,-1070.9616952217448
EFC,USD,100,2022-07-02,17.505,1750.5,2022-06-14,14.065,1405.95479115,-344.5452088500001,1.88296,32.9612148,3296.12148,1.87125,26.31913125,2630.8929029394376,-665.2285770605622
EFC,USD,100,2022-07-02,17.505,1750.5,2022-06-14,14.065,1405.95479115,-344.5452088500001,1.88296,32.9612148,3296.12148,1.87125,26.31913125,2630.8929029394376,-665.2285770605622
EFC,USD,300,2022-07-02,17.505,5251.5,2022-06-14,14.065,4217.86437345,-1033.6356265499999,1.88296,32.9612148,9888.36444,1.87125,26.31913125,7892.678708818313,-1995.6857311816866
EFC,USD,175,2022-07-02,17.505,3063.375,2022-06-14,13.955,2441.171325338,-622.2036746620001,1.88296,32.9612148,5768.21259,1.87125,26.11329375,4568.041842538732,-1200.1707474612676
EFC,USD,48,2022-07-02,17.505,840.24,2022-06-14,13.965,670.0584096719999,-170.18159032800008,1.88296,32.9612148,1582.1383104,1.87125,26.13200625,1253.84679909873,-328.29151130127
