Ticker,Date entry,Quantity,Price entry,Expense,Date exit,Quantity,Price exit,Income,Profit
AMZN,2022-02-04,85,3044.935294118,-258819.50000003,None,None,None,None,-258819.50000003
AMZN,2022-02-04,85,3044.935294118,-258819.50000003,None,None,None,None,-258819.50000003
AMZN,2022-02-04,85,3044.935294118,-258819.50000003,None,None,None,None,-258819.50000003
AMZN,2022-02-04,85,3044.935294118,-258819.50000003,None,None,None,None,-258819.50000003
AMZN,2022-02-04,85,3044.935294118,-258819.50000003,None,None,None,None,-258819.50000003
AMZN,2022-02-04,85,3044.935294118,-258819.50000003,None,None,None,None,-258819.50000003
ARKK,2022-02-24,500,61.6783,-30839.15,None,None,None,None,-30839.15
ARKK,2022-02-24,500,61.6783,-30839.15,None,None,None,None,-30839.15
ARKK,2022-02-24,500,61.6783,-30839.15,None,None,None,None,-30839.15
ARKK,2022-02-24,500,61.6783,-30839.15,None,None,None,None,-30839.15
BABA,2022-03-04,-400,101.0332,40413.28,None,None,None,None,40413.28
BABA,2022-03-04,-400,101.0332,40413.28,None,None,None,None,40413.28
BABA,2022-03-04,-400,101.0332,40413.28,None,None,None,None,40413.28
BABA,2022-03-04,-400,101.0332,40413.28,None,None,None,None,40413.28
BRK B,2022-03-09,-150,326.975033333,49046.25499995,None,None,None,None,49046.25499995
BRK B,2022-03-09,-150,326.975033333,49046.25499995,None,None,None,None,49046.25499995
BRK B,2022-03-09,-150,326.975033333,49046.25499995,None,None,None,None,49046.25499995
BXMT,2022-02-07,1300,30.914142308,-40188.3850004,None,None,None,None,-40188.3850004
CWH,2022-01-24,-1200,31.54,37848.0,None,None,None,None,37848.0
CWH,2022-01-24,-1200,31.54,37848.0,None,None,None,None,37848.0
DOCU,2022-03-09,-200,96.3375,19267.5,None,None,None,None,19267.5
DOCU,2022-03-09,-200,96.3375,19267.5,None,None,None,None,19267.5
EFC,2022-02-14,100,17.475,-1747.5000000000002,None,None,None,None,-1747.5000000000002
EFC,2022-02-14,100,17.475,-1747.5000000000002,None,None,None,None,-1747.5000000000002
EFC,2022-02-14,100,17.475,-1747.5000000000002,None,None,None,None,-1747.5000000000002
EMD,2022-03-08,-3400,9.557167647,32494.3699998,None,None,None,None,32494.3699998
EMD,2022-03-08,-3400,9.557167647,32494.3699998,None,None,None,None,32494.3699998
EMD,2022-03-08,-3400,9.557167647,32494.3699998,None,None,None,None,32494.3699998
EMD,2022-03-08,-3400,9.557167647,32494.3699998,None,None,None,None,32494.3699998
ETHE,2022-02-07,400,25.05,-10020.0,None,None,None,None,-10020.0
ETHE,2022-02-07,400,25.05,-10020.0,None,None,None,None,-10020.0
ETHE,2022-02-07,400,25.05,-10020.0,None,None,None,None,-10020.0
FB,2022-03-08,-180,187.556111111,33760.099999980004,None,None,None,None,33760.099999980004
