Ticker,Description,Category,Type,Exchange,Quantity,Cost BGN,Revenue BGN,Profit BGN
ALTA,ALTAREA,Stocks,REIT,SBF,250,61111.11118543045,70863.38808125,9752.276895819552
CWH,CAMPING WORLD HOLDINGS INC-A,Stocks,COMMON,NYSE,1025,53877.365896814284,60163.73115949105,6286.365262676765
META,META PLATFORMS INC-CLASS A,Stocks,COMMON,NASDAQ,100,30772.179652,34165.087506572745,3392.907854572746
VRSK,VERISK ANALYTICS INC,Stocks,COMMON,NASDAQ,80,23844.59025,30550.842289751905,6706.252039751904
BABA 26AUG22 105 C,,Equity and Index Options,C,CBOE,2200,3851.253141010752,1955.378868004144,-1895.8742730066083
BABA 26AUG22 110 C,,Equity and Index Options,C,CBOE,2200,2843.989989000752,1005.9281309239359,-1838.061858076816
BIDU 12AUG22 144 C,,Equity and Index Options,C,CBOE,2000,4351.374863630001,6584.4673445526405,2233.09248092264
CAT 21OCT22 220 C,,Equity and Index Options,C,CBOE,1500,5842.59912454851,5700.19611262692,-142.4030119215904
JPM 12AUG22 114 C,,Equity and Index Options,C,CBOE,2000,5267.70299963,7422.5460968837,2154.8430972537
JPM 19AUG22 120 C,,Equity and Index Options,C,CBOE,4000,4636.82250582,7375.853163422251,2739.0306576022513
JPM 19AUG22 125 C,,Equity and Index Options,C,CBOE,2000,972.3941580399999,962.53187803196,-9.862280008039875
META 12AUG22 175 C,,Equity and Index Options,C,CBOE,2000,6883.94006363,9401.497689575704,2517.557625945705
META 12AUG22 177.5 C,,Equity and Index Options,C,CBOE,700,766.2672944955,2995.2717060743753,2229.004411578875
META 12AUG22 180 C,,Equity and Index Options,C,CBOE,2300,4129.300243283917,3876.1634048287374,-253.13683845517926
META 12AUG22 187.5 C,,Equity and Index Options,C,CBOE,-1500,-756.46477301192,-316.07322734750005,440.39154566441994
META 19AUG22 180 C,,Equity and Index Options,C,CBOE,2300,9427.1841970125,12651.440248634244,3224.2560516217436
META 19AUG22 190 C,,Equity and Index Options,C,CBOE,-300,-403.89610625771036,483.91156434569973,887.8076706034101
META 19AUG22 200 C,,Equity and Index Options,C,CBOE,-2000,-703.73101489848,-1091.50329229,-387.77227739152
META 26AUG22 170 C,,Equity and Index Options,C,CBOE,4000,4347.398398859999,6257.480363844863,1910.0819649848636
META 02SEP22 180 C,,Equity and Index Options,C,CBOE,3000,3487.85993071554,872.3962268996399,-2615.4637038159
META 02SEP22 182.5 C,,Equity and Index Options,C,CBOE,2000,2195.822128584554,330.86634899074,-1864.955779593814
SBSW 19AUG22 12.5 C,,Equity and Index Options,C,CBOE,2000,949.0648387499999,0.0,-949.0648387499999
SMH 16SEP22 250 C,,Equity and Index Options,C,CBOE,700,6073.8805185275,8697.6246822051,2623.7441636776
SMH 16SEP22 205 P,,Equity and Index Options,P,CBOE,700,6208.739018527499,3416.007854000262,-2792.731164527237
TLT 19AUG22 117 C,,Equity and Index Options,C,CBOE,-500,-2642.7511030682504,-290.39553951,2352.35556355825
Total,,,,,,237333.99740107547,274034.63866176317,36700.64126068771

Ticker,Base currency,Quantity,Date entry,Price entry,Cost,Date exit,Price exit,Revenue,Profit,FX at entry,Price entry BGN,Cost BGN,FX at exit,Price exit BGN,Revenue BGN,Profit BGN
ALTA,EUR,87,2022-06-20,125.0625,10880.4375,2022-08-04,145.0,12608.6925,1728.2549999999992,1.95583,244.60098937499998,21280.286075625,1.95583,283.59535,24660.459052274997,3380.1729766499957
ALTA,EUR,5,2022-06-20,125.0625,625.3125,2022-08-04,145.0,724.6375,99.32500000000005,1.95583,244.60098937499998,1223.004946875,1.95583,283.59535,1417.267761625,194.26281474999996
ALTA,EUR,74,2022-06-20,125.019235135,9251.42339999,2022-08-04,145.0,10724.635,1473.2116000099995,1.95583,244.51637065408704,18094.211428402443,1.95583,283.59535,20975.56287205,2881.351443647556
ALTA,EUR,84,2022-06-20,124.8624,10488.4416,2022-08-04,145.0,12173.91,1685.4683999999997,1.95583,244.209627792,20513.608734528,1.95583,283.59535,23810.0983953,3296.489660772
CWH,USD,200,2022-05-04,28.42006875,5684.01375,2022-08-03,30.615,6121.8337833,437.8200332999995,1.85721,52.7820358831875,10556.4071766375,1.91861,58.73824515,11745.411514977211,1189.0043383397115
CWH,USD,100,2022-05-04,28.4188625,2841.88625,2022-08-03,30.615,3060.91689165,219.03064164999978,1.85721,52.779795623625,5277.9795623625005,1.91861,58.73824515,5872.705757488606,594.7261951261053
CWH,USD,100,2022-05-04,28.42,2842.0,2022-08-03,30.615,3060.91689165,218.9168916499998,1.85721,52.781908200000004,5278.19082,1.91861,58.73824515,5872.705757488606,594.5149374886059
CWH,USD,158,2022-05-04,28.42,4490.360000000001,2022-08-03,30.615,4836.248688807,345.8886888069992,1.85721,52.781908200000004,8339.5414956,1.91861,58.73824515,9278.875096831998,939.3336012319978
CWH,USD,300,2022-05-04,28.406933333,8522.079999900001,2022-08-03,30.59,9175.2508467,653.1708467999997,1.85721,52.75764065538093,15827.29219661428,1.91861,58.6902799,17603.728026987086,1776.4358303728059
CWH,USD,100,2022-05-04,28.3678,2836.7799999999997,2022-08-03,30.57,3056.4169947,219.6369947000003,1.85721,52.684961838,5268.4961838,1.91861,58.651907699999995,5864.072210201367,595.576026401367
CWH,USD,32,2022-05-04,28.365,907.68,2022-08-03,30.55,977.41345296,69.73345296000002,1.85721,52.679761649999996,1685.7523727999999,1.91861,58.6135355,1875.2752249835855,189.52285218358566
CWH,USD,10,2022-05-04,28.365,283.65,2022-08-03,30.55,305.44170405,21.79170405000002,1.85721,52.679761649999996,526.7976165,1.91861,58.6135355,586.0235078073705,59.22589130737049
CWH,USD,2,2022-07-08,23.215,46.43,2022-08-03,30.55,61.08834081,14.658340809999999,1.92446,44.676338900000005,89.35267780000001,1.91861,58.6135355,117.2047015614741,27.852023761474086
CWH,USD,10,2022-07-08,23.215,232.15,2022-08-03,30.55,305.44170405,73.29170404999999,1.92446,44.676338900000005,446.763389,1.91861,58.6135355,586.0235078073705,139.26011880737047
CWH,USD,13,2022-07-08,23.215,301.795,2022-08-03,30.545,397.009216754,95.214216754,1.92446,44.676338900000005,580.7924057,1.91861,58.60394245,761.7058533563919,180.9134476563919
META,USD,36,2022-06-30,163.45,5884.2,2022-08-10,179.1,6446.447669959999,562.2476699599993,1.88296,307.76981199999994,11079.713232,1.90775,341.678025,12298.210542366189,1218.4973103661887
META,USD,64,2022-06-30,163.41015625,10458.25,2022-08-10,179.1,11462.12919104,1003.8791910399996,1.88296,307.6947878125,19692.46642,1.90775,341.678025,21866.87696420656,2174.4105442065593
