Ticker,Date entry,Quantity,Price entry,Expense,Date exit,Quantity,Price exit,Income,Profit
BASd,2022-05-26,-800,50.61,40488.0,None,None,None,None,40488.0
AMZN,2022-05-31,-13,2427.52,31557.76,None,None,None,None,31557.76
BBY,2022-05-23,100,72.51,7251.000000000001,2022-05-25,-100,76.53,-7653.0,-401.9999999999991
BBY,2022-05-23,100,72.51,7251.000000000001,2022-05-25,-100,79.36,-7936.0,-684.9999999999991
BBY,2022-05-24,200,73.825,14765.0,2022-05-25,-200,79.36,-15872.0,-1107.0
GILD,2022-05-31,1000,64.36603,-64366.02999999999,None,None,None,None,-64366.02999999999
GNL,2022-05-31,3000,14.270566667,-42811.700001000005,None,None,None,None,-42811.700001000005
HSY,2022-05-23,-320,209.63871875,67084.39,None,None,None,None,67084.39
KHC,2022-05-31,1000,37.429825,-37429.825000000004,None,None,None,None,-37429.825000000004
MELI,2022-05-20,12,808.755,-9705.06,None,None,None,None,-9705.06
MMM,2022-05-31,300,146.270666667,-43881.2000001,None,None,None,None,-43881.2000001
NWL,2022-05-31,1300,21.660907692,-28159.179999599997,None,None,None,None,-28159.179999599997
SCCO,2022-05-31,500,63.9155,-31957.75,None,None,None,None,-31957.75
SDIV,2022-05-31,5200,10.639311538,-55324.419997599995,None,None,None,None,-55324.419997599995
T,2022-05-31,2700,21.005,-56713.5,None,None,None,None,-56713.5
VTIP,2022-05-31,-6500,51.005,331532.5,None,None,None,None,331532.5
AMD 19AUG22 75.0 P,2022-05-25,1200,4.75,None,None,None,None,None,None
AMD 19AUG22 75.0 P,2022-05-25,300,4.4,None,None,None,None,None,None
FB 27MAY22 200.0 C,2022-05-23,500,2.04,1020.0,2022-05-26,-500,0.11,-55.0,965.0
FB 27MAY22 205.0 C,2022-05-23,1000,1.06,1060.0,2022-05-26,-1000,0.04,-40.0,1020.0
FB 27MAY22 207.5 C,2022-05-23,1000,0.71,710.0,2022-05-27,-1000,0.0,-0.0,710.0
FB 10JUN22 210.0 C,2022-05-31,1500,1.0,1500.0,2022-05-31,-1500,1.59,-2385.0,-885.0
FB 10JUN22 210.0 C,2022-05-31,500,1.0,None,None,None,None,None,None
FB 10JUN22 210.0 C,2022-05-31,1000,0.98,None,None,None,None,None,None
FDX 19AUG22 165.0 P,2022-05-25,1000,5.292,None,None,None,None,None,None
TLT 17JUN22 117.0 P,2022-05-20,-3000,2.7,None,None,None,None,None,None
TLT 17JUN22 117.0 P,2022-05-20,-1000,2.5,None,None,None,None,None,None
